Ozone,Solar.R,Wind,Temp,Month,Day,Humidity
41,190,7.4,67,5,1,High
36,118,8,72,5,2,Medium
12,149,12.6,74,5,3,low
18,313,11.5,62,5,4,Medium
NA,NA,14.3,56,5,5,Medium
28,NA,14.9,66,5,6,low
23,299,8.6,65,5,7,High
19,99,13.8,59,5,8,Medium
8,19,20.1,61,5,9,High
NA,194,8.6,,5,10,
7,NA,6.9,74,5,11,High
16,256,9.7,69,5,12,High
11,290,9.2,66,5,13,low
14,274,10.9,68,5,14,Medium
18,65,13.2,58,5,15,low
14,334,11.5,64,5,16,low
34,307,12,66,5,17,Medium
6,78,18.4,,5,18,High
30,322,11.5,68,5,19,
11,44,9.7,62,5,20,High
1,8,9.7,59,5,21,High
11,320,16.6,73,5,22,High
4,25,9.7,61,5,23,High
32,92,12,61,5,24,low
NA,66,16.6,57,5,25,Medium
NA,266,14.9,58,5,26,Medium
NA,NA,8,57,5,27,
23,13,12,,5,28,low
45,252,14.9,81,5,29,High
115,223,5.7,79,5,30,Medium
37,279,7.4,76,5,31,low
NA,286,8.6,78,6,1,High
NA,287,9.7,74,6,2,low
NA,242,16.1,67,6,3,High
NA,186,9.2,84,6,4,low
NA,220,8.6,85,6,5,High
NA,264,14.3,79,6,6,low
29,127,9.7,82,6,7,
NA,273,6.9,87,6,8,Medium
71,291,13.8,90,6,9,High
39,323,11.5,87,6,10,Medium
NA,259,10.9,93,6,11,Medium
NA,250,9.2,92,6,12,Medium
23,148,8,,6,13,Medium
NA,332,13.8,80,6,14,Medium
NA,322,11.5,79,6,15,low
21,191,14.9,77,6,16,High
37,284,20.7,72,6,17,Medium
20,37,9.2,65,6,18,High
12,120,11.5,73,6,19,
13,137,10.3,76,6,20,low
NA,150,6.3,77,6,21,High
NA,59,1.7,76,6,22,low
NA,91,4.6,76,6,23,High
NA,250,6.3,76,6,24,Medium
NA,135,8,75,6,25,low
NA,127,8,78,6,26,Medium
NA,47,10.3,73,6,27,High
NA,98,11.5,,6,28,Medium
NA,31,14.9,77,6,29,
NA,138,8,83,6,30,High
135,269,4.1,84,7,1,High
49,248,9.2,85,7,2,Medium
32,236,9.2,81,7,3,low
NA,101,10.9,84,7,4,low
64,175,4.6,83,7,5,High
40,314,10.9,83,7,6,Medium
77,276,5.1,88,7,7,low
97,267,6.3,92,7,8,High
97,272,5.7,92,7,9,High
85,175,7.4,,7,10,low
NA,139,8.6,82,7,11,low
10,264,14.3,73,7,12,
27,175,14.9,81,7,13,Medium
NA,291,14.9,91,7,14,low
7,48,14.3,80,7,15,High
48,260,6.9,81,7,16,High
35,274,10.3,82,7,17,Medium
61,285,6.3,84,7,18,High
79,187,5.1,87,7,19,Medium
63,220,11.5,85,7,20,low
16,7,6.9,74,7,21,low
NA,258,9.7,81,7,22,Medium
NA,295,11.5,,7,23,low
80,294,8.6,86,7,24,Medium
108,223,8,85,7,25,
20,81,8.6,82,7,26,High
52,82,12,86,7,27,High
82,213,7.4,88,7,28,Medium
50,275,7.4,86,7,29,Medium
64,253,7.4,83,7,30,low
59,254,9.2,81,7,31,Medium
39,83,6.9,81,8,1,Medium
9,24,13.8,81,8,2,Medium
16,77,7.4,82,8,3,
78,NA,6.9,,8,4,Medium
35,NA,7.4,85,8,5,Medium
66,NA,4.6,87,8,6,High
122,255,4,89,8,7,low
89,229,10.3,90,8,8,High
110,207,8,90,8,9,Medium
NA,222,8.6,92,8,10,Medium
NA,137,11.5,86,8,11,High
44,192,11.5,86,8,12,
28,273,11.5,82,8,13,Medium
65,157,9.7,80,8,14,High
NA,64,11.5,79,8,15,Medium
22,71,10.3,,8,16,low
59,51,6.3,79,8,17,Medium
23,115,7.4,76,8,18,High
31,244,10.9,78,8,19,low
44,190,10.3,78,8,20,low
21,259,15.5,77,8,21,Medium
9,36,14.3,72,8,22,Medium
NA,255,12.6,75,8,23,High
45,212,9.7,79,8,24,High
168,238,3.4,81,8,25,
73,215,8,86,8,26,low
NA,153,5.7,-200,8,27,High
76,203,9.7,97,8,28,High
118,225,2.3,94,8,29,High
84,237,6.3,96,8,30,low
85,188,6.3,,8,31,Medium
96,167,6.9,91,9,1,Medium
78,197,5.1,92,9,2,Medium
73,183,2.8,93,9,3,Medium
91,189,4.6,93,9,4,low
47,95,7.4,87,9,5,low
32,92,15.5,84,9,6,High
20,252,10.9,80,9,7,Medium
23,220,10.3,78,9,8,High
21,230,10.9,,9,9,Medium
24,259,9.7,73,9,10,low
44,236,14.9,81,9,11,
21,259,15.5,76,9,12,Medium
28,238,6.3,77,9,13,low
9,24,10.9,71,9,14,Medium
13,112,11.5,71,9,15,low
46,237,6.9,78,9,16,High
18,224,13.8,67,9,17,Medium
13,27,10.3,76,9,18,Medium
24,238,10.3,-100,9,19,Medium
16,201,8,82,9,20,High
13,238,12.6,64,9,21,High
23,14,9.2,71,9,22,Medium
36,139,10.3,81,9,23,low
7,49,10.3,69,9,24,High
14,20,16.6,63,9,25,low
30,193,6.9,70,9,26,low
NA,145,13.2,77,9,27,low
14,191,14.3,75,9,28,low
18,131,8,76,9,29,Medium
20,223,11.5,-30,9,30,low
